Date,Open,High,Low,Close,Volume,date,sentiment,return_1d,log_return,sma_10,sma_20,sma_50,vol_10,vol_20,rsi_14,target
2020-03-13,39.66666793823242,40.50466537475586,33.46666717529297,36.44133377075195,339604500.0,2020-03-13,0.0,-0.0248505535904755,-0.02516454136147539,44.409200286865236,49.3237663269043,43.88627979278564,0.07332387999393095,0.06515500297558245,22.642663829127414,0
2020-03-16,31.299999237060547,32.9913330078125,29.47800064086914,29.67133331298828,307342500.0,2020-03-16,0.0,-0.18577806455584012,-0.20552230217550038,42.41886672973633,48.14056625366211,43.906026458740236,0.07509152906782873,0.07516575936811176,20.056710552524436,0
2020-03-17,29.333999633789062,31.456666946411133,26.399999618530277,28.68000030517578,359919000.0,2020-03-17,0.0,-0.03341046380880208,-0.033981345006121266,40.31679992675781,46.71323299407959,43.88894645690918,0.07327992503831438,0.07146065932038245,20.270181896169674,0
2020-03-18,25.933332443237305,26.99066734313965,23.367332458496094,24.08133316040039,356793000.0,2020-03-18,0.0,-0.1603440409986845,-0.17476304366003292,37.72826652526855,44.85923309326172,43.76851978302002,0.0777501692425352,0.07290767878093582,21.39488272428534,1
2020-03-19,24.979999542236328,30.13333320617676,23.8973331451416,28.50933265686035,452932500.0,2020-03-19,0.0,0.1838768421567878,0.16879451260286116,35.74893321990967,43.28666639328003,43.713293113708495,0.11139826358583862,0.08879127686076119,30.32723998328906,0
2020-03-20,29.21333312988281,31.799999237060547,28.38599967956543,28.50200080871582,424282500.0,2020-03-20,0.0,-0.0002571736151377735,-0.0002572066899428904,33.90926666259766,41.70843315124512,43.62714645385742,0.112246314846467,0.08875106946869546,20.4781871416307,1
2020-03-23,28.906667709350582,29.46666717529297,27.36666679382324,28.952667236328125,246817500.0,2020-03-23,0.0,0.015811747064244486,0.015688043665694096,32.751200103759764,40.37676658630371,43.564413146972655,0.10847992813575937,0.08881180241197383,21.195064766486638,1
2020-03-24,31.81999969482422,34.24599838256836,31.600000381469727,33.66666793823242,343428000.0,2020-03-24,0.0,0.16281749323562988,0.15084593365171228,31.815666961669923,39.39373340606689,43.6002131652832,0.12167325558035798,0.0984492754205594,29.8579764571962,1
2020-03-25,36.34999847412109,37.133331298828125,34.07400131225586,35.95000076293945,318340500.0,2020-03-25,0.0,0.06782176450892674,0.06562083944686448,31.182466888427733,38.5952335357666,43.619399871826175,0.12463497320857914,0.10026844388255864,34.965841628829494,0
2020-03-26,36.49266815185547,37.33333206176758,34.150001525878906,35.21066665649414,260710500.0,2020-03-26,0.0,-0.020565621439638027,-0.020780038675525248,30.966533660888672,38.092433547973634,43.60638656616211,0.11904617667985976,0.09660650562134447,35.54085679958658,0
